MAX_ATR_I_12M,NMES_ATR15_I_U6K_24M,RTOT_DACT_DTOT_24M,VAR_PROM_ENT_ACTU_24M,NMES_UATR3_I_24M,VAR_PROM_DEUDIR_ACTU_12M,INC_SUM_ACTSH_ACTU_24M,MAX_ENT_12M,N_NOR_24M,NMES_UATR15_I_U6K_24M,FLG_CLI_DEF60
17,0,0.759335525,0.0,4,0.46732866,43.1273754,1,24,0,0
3,0,1.0,-0.159090909,2,0.538568525,22.0134122,2,22,0,0
5,0,1.0,0.0,11,-0.019209678,16.53043383,1,21,0,0
11,0,0.898460623,-0.1875,0,0.078657521,23.65880661,2,24,0,0
18,2,1.0,0.0,0,1.064260082,75.32693383,1,20,1,0
0,0,0.401963228,0.0,0,0.220300408,29.21324973,1,23,0,0
5,0,0.819397458,0.0,0,-0.086283133,17.88054625,1,24,0,0
35,2,1.0,0.0,0,0.34851406,21.43603715,1,20,2,0
4,0,0.647684326,0.541666667,3,0.130528574,22.08247352,2,24,0,0
13,0,0.971134548,-0.125,0,-0.099476766,15.75076385,2,24,0,0
2,0,0.710102423,-0.020833333,0,0.506021347,30.07377846,2,24,0,0
0,0,0.963215178,0.0,14,0.147092221,33.45287058,1,24,0,0
32,4,0.946553283,0.0,0,0.200988886,31.88362341,2,24,0,0
1,0,0.980310678,-0.208333333,0,-0.160688408,20.45038292,2,24,0,0
10,0,1.0,-0.222222222,0,0.196183796,19.50999284,4,23,0,0
15,0,0.985458746,0.791666667,0,0.520311557,51.0010589,2,22,0,0
3,0,0.967769332,0.0,0,0.073336246,16.26347509,4,24,0,0
5,0,1.0,-0.333333333,1,-0.111857409,10.70073972,2,24,0,0
0,0,0.841716364,-0.319444444,0,0.056931555,24.32496686,3,24,0,0
1,0,0.885351208,0.285714286,0,0.11484051,23.28947123,2,21,0,0
1,0,0.854828517,0.583333333,0,-0.332567707,20.50251376,1,8,0,0
9,0,0.734739898,0.0,0,-0.351598953,12.98845193,1,24,0,0
2,0,0.576256478,-0.291666667,12,0.083647112,15.78280758,3,23,0,0
7,0,0.621575754,0.0,0,-0.312679913,13.4171209,1,21,0,0
2,0,1.0,-0.342105263,0,-0.069900655,12.8542995,2,19,0,0
3,0,1.0,0.0,8,0.13018264,19.13746914,1,24,0,0
0,0,1.0,0.0,0,-0.192636752,7.073632479,1,10,0,0
3,0,0.850017289,-0.291666667,2,-0.153437399,12.90760522,2,24,0,0
2,0,0.111519809,0.0,0,-0.587426526,4.847005688,1,20,0,0
1,0,0.865313268,0.0,0,0.012961407,21.15349203,3,24,0,0
5,0,0.684053012,0.027777778,2,0.377070875,30.66717366,4,23,0,0
5,0,0.610831761,-0.416666667,2,-0.228990083,11.48238761,3,24,0,0
5,0,0.262525912,0.0,0,-0.63326231,8.283355624,1,24,0,0
0,0,0.597995316,-0.166666667,15,-0.136381193,28.52148719,2,16,0,0
3,0,0.697511578,-0.229166667,3,0.745733284,28.30218786,2,24,0,0
3,0,0.63785562,0.05,0,0.264874349,26.54166843,1,20,0,0
21,2,1.0,0.0,0,-0.414684735,4.113234549,1,14,0,0
4,0,0.913684602,0.0,4,-0.116341327,14.07887045,1,22,0,0
1,0,0.793926445,-0.4375,0,-0.612140715,4.660546776,2,20,0,0
3,0,0.129019187,-0.177083333,1,0.781197429,35.47611492,5,22,0,0
0,0,0.328665005,0.0,0,-0.074629745,20.80679438,1,24,0,0
6,0,0.777486502,-0.217391304,10,-0.449744039,13.80809476,2,23,0,0
1,0,1.0,0.145833333,23,0.362770091,28.64392756,3,24,0,0
6,0,0.742442756,-0.236111111,0,0.07201963,20.50171292,3,16,0,0
8,0,0.820014306,-0.208333333,5,0.103009536,15.90994461,2,22,0,0
3,0,0.987269698,0.0,4,-0.011465901,32.42588346,1,24,0,0
3,0,0.946248368,-0.34375,3,-0.136979347,19.54671127,4,24,0,0
0,0,1.0,0.0,0,1.226289624,21.26289624,1,10,0,0
2,0,1.0,0.0,14,0.637293552,83.24333651,1,24,0,0
4,0,0.952819722,-0.197916667,9,-0.122529361,15.57035549,4,24,0,0
0,0,1.0,-0.195652174,0,-0.410401586,25.22699064,3,23,0,0
0,0,1.0,0.0,18,-0.385214944,10.82325763,1,24,0,0
1,0,0.344409208,0.0,0,-0.532162785,17.44759224,1,23,0,0
